Latitude,Longitude
-21.4133,-38.5422
-21.4106,-38.7786
-21.4192,-39.6478
-21.3314,-39.5392
-21.2944,-38.5758
-21.3839,-38.5711
-21.2297,-39.3031
-21.2444,-38.5419
-21.2639,-38.5411
-21.1939,-38.6103
-21.4253,-38.7767
-21.4325,-39.1500
-21.4247,-39.2714
-21.2808,-39.5350
-21.1997,-39.4386
-21.1928,-39.2506
-21.1583,-38.6492
-21.2114,-38.5569
-21.3200,-38.6322
-21.2486,-38.7156
-21.2564,-38.8850
-21.2478,-38.9919
-21.2581,-39.2281
-21.3206,-38.4506
-21.3217,-39.4539
-21.3336,-39.0053
-21.3469,-38.7022
-21.3022,-38.4464
-21.2700,-38.5003
-21.4333,-38.6642
-21.4328,-38.7022
-21.4642,-38.7022
-21.4572,-39.0081
-21.4600,-39.0161
-21.4603,-38.9078
-21.2039,-39.4906
-21.1628,-39.4439
-21.1639,-39.3372
-21.1639,-39.0689
-21.1700,-38.9797
-21.4142,-38.7275
-21.4092,-38.8928
-21.4058,-38.9747
-21.4025,-39.0497
-21.2000,-39.0525
-21.1869,-38.9717
-21.1817,-38.8319
-21.2781,-38.9364
-21.2194,-39.4381
-21.2808,-39.4742
-21.2489,-39.2469
-21.2503,-39.1456
-21.2569,-39.2233
-21.2586,-39.1883
-21.2536,-39.1503
-21.2608,-38.7886
-21.2761,-38.6775
-21.3617,-38.8872
-21.3617,-38.8686
-21.1750,-38.8183
-21.4672,-39.0381
-21.3656,-39.2286
-21.3333,-39.5222
-21.3900,-39.5097
-21.3636,-38.8944
-21.4425,-38.5406
-21.4675,-38.6606
-21.4614,-38.9358
-21.4108,-39.5342
-21.2869,-39.5131
-21.1869,-39.0969
-21.1917,-38.8003
-21.1867,-38.5378
-21.3236,-38.6669
-21.2939,-38.8722
-21.2917,-38.7631
-21.2836,-39.5014
-21.4333,-39.4472
-21.2728,-38.9322
-21.2731,-38.9436
-21.2753,-38.6178
-21.2031,-38.4700
-21.2322,-38.4375
-21.3764,-38.8036
-21.3764,-38.7511
-21.3689,-38.8539
-21.3789,-39.0711
-21.3786,-39.2331
-21.2217,-39.5453
-21.3936,-39.5003
-21.1819,-39.5047
-21.3986,-39.3986
-21.3608,-39.3317
-21.3694,-39.2875
-21.3697,-39.1642
-21.3583,-39.1825
-21.3594,-39.1294
-21.3519,-39.0758
-21.3631,-38.9039
-21.3547,-38.6633
-21.4050,-38.4683
-21.4517,-38.4792
-21.4747,-38.1556
-21.4583,-39.2983
-21.4531,-39.2542
-21.3150,-39.4719
-21.4578,-39.3514
-21.6822,-39.3008
-21.3589,-39.3783
-21.3594,-39.1103
-21.3633,-38.8558
-21.3564,-39.8347
-21.4047,-38.4336
-21.2867,-38.9136
-21.1825,-38.7383
-21.3808,-39.3425
-21.3586,-39.4531
-21.3022,-39.3547
-21.2922,-39.3372
-21.4017,-38.5992
-21.3794,-39.3056
-21.3678,-38.9828
-21.3636,-38.5694
-21.3017,-38.8442
-21.2000,-38.8847
-21.2972,-39.5606
-21.2769,-39.2781
-21.2850,-39.0736
-21.2842,-38.8531
-21.2792,-38.8294
-21.2669,-39.3506
-21.3708,-39.1458
-21.2033,-38.9803
-21.1956,-38.7875
-21.2369,-38.6961
-21.2900,-38.6925
-21.3697,-38.5622
-21.3728,-38.7925
-21.3725,-38.8325
-21.3717,-38.8275
-21.4322,-39.1133
-21.2950,-38.8994
-21.2939,-38.7164
-21.4269,-38.7356
-21.2481,-39.3919
-21.1839,-39.1139
-21.2531,-39.3153
-21.2683,-39.0100
-21.1942,-38.6414
-21.3708,-38.7100
-21.3708,-38.6797
-21.3733,-38.7653
-21.3103,-38.9436
-21.3211,-38.9431
-21.2881,-39.3256
-21.2675,-39.3867
-21.2858,-39.4089
-21.2864,-38.5314
-21.4089,-38.6119
-21.2956,-39.0733
-21.3389,-38.8569
-21.2717,-39.2147
-21.3194,-39.3197
-21.3542,-38.8492
-21.5258,-38.7086
-21.3342,-39.2272
-21.3211,-39.5292
-21.4031,-39.3872
-21.2639,-39.1975
-21.2650,-39.2706
-21.2644,-39.0311
-21.3856,-38.5492
-21.1919,-38.6636
-21.4072,-38.7022
-21.2942,-38.7047
-21.2306,-38.6694
-21.4242,-39.1914
-21.4358,-39.4869
-21.4775,-38.6583
-21.5197,-39.1433
-21.5289,-39.5231
-21.3025,-38.9039
-21.3236,-38.8097
-21.3478,-39.2678
-21.5753,-39.5075
-21.4342,-38.9333
-21.5117,-39.3403
-21.4411,-39.5550
-21.3589,-39.1128
-21.3647,-39.2386
-21.3600,-39.4022
-21.4181,-39.4119
-21.3953,-39.4781
-21.5183,-38.8625
-21.4594,-38.8983
-21.4139,-38.9339
-21.4328,-38.8800
-21.4742,-38.7731
-21.5878,-39.2031
-21.5819,-38.6456
-21.4192,-38.5411
-21.6008,-39.5147
-21.6019,-39.1386
-21.6078,-38.8644
-21.4272,-38.6847
-21.4733,-38.5106
-26.6008,-39.2228
-26.5119,-38.5994
-21.6000,-38.7417
-21.3556,-38.8894
-21.5931,-39.1400
-21.5867,-39.2728
